utc,pid,rss_bytes,process_hwm_bytes,host_available_bytes,gpu_gpc_cur_hz,gpu_gpc_min_hz,gpu_gpc_max_hz
2026-09-13T06:42:12.045188+00:00,2437930,15106633728,15106633728,111252516864,1575000000,1575000000,1575000000
2026-09-13T06:42:22.045864+00:00,2437930,15156703232,15156703232,108935086080,1575000000,1575000000,1575000000
2026-09-13T06:42:32.046527+00:00,2437930,15207297024,15207297024,110008651776,1575000000,1575000000,1575000000
2026-09-13T06:42:42.047175+00:00,2437930,15252647936,15252647936,110469025792,1575000000,1575000000,1575000000
2026-09-13T06:42:52.047977+00:00,2437930,15299309568,15299309568,110975635456,1575000000,1575000000,1575000000
2026-09-13T06:43:02.048671+00:00,2437930,15340990464,15340990464,111190073344,1575000000,1575000000,1575000000
2026-09-13T06:43:12.049290+00:00,2437930,15383719936,15383719936,111645073408,1575000000,1575000000,1575000000
2026-09-13T06:43:22.049898+00:00,2437930,15436935168,15436935168,111759097856,1575000000,1575000000,1575000000
2026-09-13T06:43:32.050529+00:00,2437930,15478616064,15478616064,111776620544,1575000000,1575000000,1575000000
2026-09-13T06:43:42.051171+00:00,2437930,15508762624,15508762624,111735201792,1575000000,1575000000,1575000000
2026-09-13T06:43:52.051817+00:00,2437930,15558569984,15558569984,111779762176,1575000000,1575000000,1575000000
2026-09-13T06:44:02.053684+00:00,2437930,15604183040,15604183040,111818354688,1575000000,1575000000,1575000000
2026-09-13T06:44:12.054332+00:00,2437930,15642980352,15642980352,111839547392,1575000000,1575000000,1575000000
2026-09-13T06:44:22.054973+00:00,2437930,15680729088,15680729088,111811870720,1575000000,1575000000,1575000000
2026-09-13T06:44:32.056339+00:00,2437930,15721361408,15721361408,111751315456,1575000000,1575000000,1575000000
2026-09-13T06:44:42.056953+00:00,2437930,15737614336,15737614336,111646560256,1575000000,1575000000,1575000000
2026-09-13T06:44:52.057564+00:00,2437930,15766188032,15766188032,111050338304,1575000000,1575000000,1575000000
2026-09-13T06:45:02.058187+00:00,2437930,15816257536,15816257536,110997544960,1575000000,1575000000,1575000000
2026-09-13T06:45:12.058819+00:00,2437930,15859249152,15859249152,110967476224,1575000000,1575000000,1575000000
2026-09-13T06:45:22.059445+00:00,2437930,15908794368,15908794368,110837526528,1575000000,1575000000,1575000000
2026-09-13T06:45:32.060075+00:00,2437930,15946280960,15946280960,110832918528,1575000000,1575000000,1575000000
2026-09-13T06:45:42.060704+00:00,2437930,15980883968,15980883968,110823907328,1575000000,1575000000,1575000000
2026-09-13T06:45:52.061353+00:00,2437930,16009457664,16009457664,110763945984,1575000000,1575000000,1575000000
2026-09-13T06:46:02.061998+00:00,2437930,16043536384,16043536384,110743109632,1575000000,1575000000,1575000000
2026-09-13T06:46:12.062663+00:00,2437930,16056905728,16056905728,110732124160,1575000000,1575000000,1575000000
2026-09-13T06:46:22.063295+00:00,2437930,16076828672,16076828672,117563822080,1575000000,1575000000,1575000000
2026-09-13T06:46:32.064131+00:00,2437930,16126373888,16126373888,117569835008,1575000000,1575000000,1575000000
2026-09-13T06:46:42.071524+00:00,2437930,16173035520,16173035520,117561716736,1575000000,1575000000,1575000000
2026-09-13T06:46:52.072187+00:00,2437930,16218648576,16218648576,117450805248,1575000000,1575000000,1575000000
2026-09-13T06:47:02.073642+00:00,2437930,16252727296,16252727296,117483192320,1575000000,1575000000,1575000000
2026-09-13T06:47:12.074286+00:00,2437930,16286281728,16286281728,117493800960,1575000000,1575000000,1575000000
2026-09-13T06:47:22.074946+00:00,2437930,16316952576,16316952576,117469220864,1575000000,1575000000,1575000000
2026-09-13T06:47:32.075605+00:00,2437930,16340807680,16340807680,117474140160,1575000000,1575000000,1575000000
2026-09-13T06:47:42.076304+00:00,2437930,16373837824,16373837824,117012635648,1575000000,1575000000,1575000000
2026-09-13T06:47:52.076982+00:00,2437930,16400314368,16400314368,116671410176,1575000000,1575000000,1575000000
2026-09-13T06:48:02.077599+00:00,2437930,16424955904,16424955904,115885342720,1575000000,1575000000,1575000000
2026-09-13T06:48:12.078269+00:00,2437930,16453791744,16453791744,112200318976,1575000000,1575000000,1575000000
2026-09-13T06:48:22.079021+00:00,2437930,16487870464,16487870464,112407154688,1575000000,1575000000,1575000000
2026-09-13T06:48:32.079663+00:00,2437930,16526405632,16526405632,111408689152,1575000000,1575000000,1575000000
2026-09-13T06:48:44.164246+00:00,2437930,15456538624,16543862784,60652822528,1575000000,1575000000,1575000000
2026-09-13T06:48:56.657188+00:00,2437930,12740272128,16543862784,56273924096,1575000000,1575000000,1575000000
2026-09-13T06:49:20.758939+00:00,2437930,12233629696,16543862784,53363171328,1575000000,1575000000,1575000000
2026-09-13T06:49:36.766521+00:00,2437930,11606745088,16543862784,49890914304,1575000000,1575000000,1575000000
2026-09-13T06:50:08.253709+00:00,2437930,11020771328,16543862784,46874361856,1575000000,1575000000,1575000000
2026-09-13T06:50:18.254365+00:00,2437930,10441367552,16543862784,44485578752,1575000000,1575000000,1575000000
2026-09-13T06:50:28.255005+00:00,2437930,10447134720,16543862784,44472492032,1575000000,1575000000,1575000000
2026-09-13T06:50:38.255625+00:00,2437930,10480164864,16543862784,44409307136,1575000000,1575000000,1575000000
2026-09-13T06:50:48.256230+00:00,2437930,10488553472,16543862784,44385775616,1575000000,1575000000,1575000000
2026-09-13T06:50:58.257726+00:00,2437930,10505592832,16543862784,44367966208,1575000000,1575000000,1575000000
2026-09-13T06:51:08.258376+00:00,2437930,10554613760,16543862784,44335108096,1575000000,1575000000,1575000000
2026-09-13T06:51:18.261596+00:00,2437930,10597867520,16543862784,44212322304,1575000000,1575000000,1575000000
2026-09-13T06:51:28.265593+00:00,2437930,10635354112,16543862784,117534015488,1575000000,1575000000,1575000000
2026-09-13T06:51:38.266275+00:00,2437930,10656587776,16543862784,117292130304,1575000000,1575000000,1575000000
2026-09-13T06:51:48.269469+00:00,2437930,10690404352,16543862784,117736505344,1575000000,1575000000,1575000000
2026-09-13T06:51:58.270135+00:00,2437930,10726842368,16543862784,117742563328,1575000000,1575000000,1575000000
2026-09-13T06:52:08.270802+00:00,2437930,10761445376,16543862784,117707112448,1575000000,1575000000,1575000000
2026-09-13T06:52:18.273441+00:00,2437930,10794475520,16543862784,117693050880,1575000000,1575000000,1575000000
2026-09-13T06:52:28.274110+00:00,2437930,10831962112,16543862784,117666451456,1575000000,1575000000,1575000000
2026-09-13T06:52:38.274783+00:00,2437930,10865516544,16543862784,117666967552,1575000000,1575000000,1575000000
2026-09-13T06:52:48.275444+00:00,2437930,10895138816,16543862784,117646630912,1575000000,1575000000,1575000000
2026-09-13T06:52:58.276094+00:00,2437930,10929479680,16543862784,117608534016,1575000000,1575000000,1575000000
2026-09-13T06:53:08.276757+00:00,2437930,10975617024,16543862784,117605953536,1575000000,1575000000,1575000000
