id,label,calls,shape,logical_tensor_flops,scalar_flops_estimate,formula,tensor_io_once_bytes,weight_bytes,special_ops,estimate_note,logical_flops_per_call,logical_gflop_per_call,ncu_bf16_gflop_per_call,ncu_fp32_gflop_per_call,mean_ncu_us,total_ncu_ms,time_percent,logical_tensor_tflops,ncu_tensor_tflops,ncu_scalar_tflops,tensor_counter_over_logical,ncu_l2_bytes_per_call,ncu_l2_gbps,ncu_tensor_ai_l2,logical_tensor_ai_io_once,io_once_equivalent_gbps,io_once_time_at_273gbps_us,l2_bytes_over_io_once,dram_crossover_tensor_tflops,operator
11,Prefix: RMSNorm (pre-attention),18,"[918,2048]",0,9401238,"L*(5*D+1): x^2, sum, mean, epsilon, (1+w), two output multiplies",7524352,4096,918 rsqrt,"Logical reduction; source rereads x in its second pass, which can hit cache",9401238,0.009401238,0.0,0.010340352,29.136,0.524448,0.618883012267395,0.0,0.0,0.3548995057660626,,8320305.777777778,285.56788089572274,0.0,0.0,258.2493135639758,27.561728937728937,1.1057836977560032,0.0,"Prefix: RMSNorm (pre-attention) | _rms_norm_kernel | grid=(918, 1, 1) block=(128, 1, 1)"
12,Prefix: concatenate image/text embeddings,1,"[1,968,2048] concatenate, then view first 918",0,0,0 (copy),7929856,0,,Three image sequences plus 200 padded text positions; prefix encoder uses 918 valid positions,0,0.0,0.0,0.0,28.000000000000004,0.028000000000000004,0.033041835117088934,0.0,0.0,0.0,,7985632.0,285.2011428571428,0.0,0.0,283.2091428571428,29.047091575091574,1.0070336712293388,0.0,"Prefix: concatenate image/text embeddings | void at::<unnamed>::CatArrayBatchedCopy_vectorized<at::<unnamed>::OpaqueType<2>, unsigned int, 2, 128, 1, 16, 8>(char *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2) | grid=(512, 4, 1) block=(128, 1, 1)"
13,Prefix: mask conversion/copy,1,[918] mask conversion,0,0,0 (integer/copy),,0,,,0,0.0,0.0,0.0,15.872,0.015872,0.018730000249229845,0.0,0.0,0.0,,129856.0,8.181451612903226,0.0,,,,,,"Prefix: mask conversion/copy | void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7) | grid=(2, 1, 1) block=(128, 1, 1)"
14,Prefix: valid-length fill,1,one valid-length integer,0,0,0 (integer fill),,0,,,0,0.0,0.0,0.0,12.288000000000002,0.012288000000000002,0.014500645354242461,0.0,0.0,0.0,,33440.0,2.721354166666666,0.0,,,,,,"Prefix: valid-length fill | void at::vectorized_elementwise_kernel<4, at::FillFunctor<int>, std::array<char *, 1>>(int, T2, T3) | grid=(1, 1, 1) block=(128, 1, 1)"
15,Text: embedding lookup,1,"[200] -> [200,2048] embedding",0,0,0 (gather),1640000,0,,Includes padded text positions; repeated token IDs may reuse weights,0,0.0,0.0,0.0,18.560000000000002,0.018560000000000004,0.021902016420470384,0.0,0.0,0.0,,1181088.0,63.63620689655171,0.0,0.0,88.36206896551722,6.007326007326007,0.7201756097560975,0.0,"Text: embedding lookup | void at::vectorized_gather_kernel<16, long>(char *, char *, T2 *, int, long, long, long, long, bool) | grid=(200, 1, 1) block=(256, 1, 1)"
16,Text: embedding scale,1,"[200,2048] scale",0,409600,200*D mul,1638400,0,,,409600,0.0004096,0.0,0.0004096,20.064,0.020064,0.02367683499247401,0.0,0.0,0.020414673046251993,,1759424.0,87.69059011164275,0.0,0.0,81.65869218500798,6.0014652014652015,1.0738671875,0.0,"Text: embedding scale | void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) | grid=(800, 1, 1) block=(128, 1, 1)"
17,Vision: FFN GELU,81,"[256,4304] GELU",0,8814592,8*S*F add/mul + S*F tanh,4407296,0,1101824 tanh,,8814592,0.008814592,0.0,0.01510298674074074,24.673975308641978,1.9985920000000001,2.358469547511893,0.0,0.0,0.6121018827254388,,4460010.666666667,180.757685410529,0.0,0.0,178.62123735109515,16.143941391941393,1.0119607729244116,0.0,"Vision: FFN GELU | triton_poi_fused_gelu_view_5 | grid=(2152, 1, 1) block=(128, 1, 1)"
18,Vision: FFN contraction + bias,81,"[256,4304] @ [4304,1152]",2538602496,294912,2*256*4304*1152 tensor; 294912 scalar,12712192,9916416,,FMA=2; logical dimensions; excludes MMA tile padding and compiler epilogue overhead,2538897408,2.538897408,2.566914048,0.000884736,76.79762962962964,6.220608,7.340725138001584,33.055740238896256,33.424391617025215,0.01152035556652983,1.0111524163568772,24626647.308641974,320.66936736730554,104.23319162487942,199.69824999496547,165.52844223587147,46.56480586080586,1.9372463308170593,54.51762224862557,"Vision: FFN contraction + bias | nvjet_sm110_tst_144x128_64x6_4x1_v_bz_bias_TNN | grid=(16, 1, 1) block=(256, 1, 1)"
19,Vision: FFN expansion + bias,81,"[256,1152] @ [1152,4304]",2538602496,1101824,2*256*1152*4304 tensor; 1101824 scalar,12718496,9916416,,FMA=2; logical dimensions; excludes MMA tile padding and compiler epilogue overhead,2539704320,2.53970432,2.64241152,0.00344064,60.98172839506173,4.93952,5.828957335627255,41.62890365379632,43.331200829230376,0.056420834413060374,1.0408921933085502,23278236.444444444,381.7247732573205,113.51424865480455,199.59926834116234,208.5624060637471,46.58789743589744,1.8302664438031386,54.490600257137324,"Vision: FFN expansion + bias | nvjet_sm110_tst_224x128_64x7_1x2_2cta_h_bz_bias_TNN | grid=(40, 1, 1) block=(256, 1, 1)"
20,Vision: FlashAttention,81,"[1,16,256,72] Q/K/V, full attention",301989888,4190208,4*heads*S^2*d tensor; ~heads*S*(4*S-1) scalar,2359296,0,1048576 exp + 4096 reciprocal + max comparisons,"Algorithmic full attention estimate, no materialized score matrix; online-softmax rescaling/reductions add work. Kernel trait pads d=72 to 96.",306180096,0.306180096,0.402653184,0.005079040716049382,31.571753086419754,2.557312,3.017795765962605,9.565192251864456,12.75358966915261,0.16087293924245455,1.3333333333333333,5479328.0,173.5515916712548,73.48586980009227,128.0,74.72806446769107,8.642109890109891,2.3224419487847223,34.944,"Vision: FlashAttention | void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<96, 128, 64, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 128, 64, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 0, 0>(pytorch_flash::Flash_fwd_params) | grid=(2, 1, 16) block=(128, 1, 1)"
21,Vision: NCHW → NHWC (input),3,"[1,3,224,224]",0,0,0 (layout copy),602112,0,,NCU counts one FP32 operation/element in the cuDNN conversion kernel; no useful arithmetic is required by layout conversion,0,0.0,0.0,0.000150528,28.43733333333333,0.085312,0.1006737513396104,0.0,0.0,0.005293323330832708,,1566666.6666666667,55.09189797449363,0.0,0.0,21.173293323330835,2.2055384615384614,2.601952239229025,0.0,"Vision: NCHW → NHWC (input) | void cudnn::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, 0, 1, 0>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *) | grid=(1568, 1, 1) block=(256, 1, 1)"
