id,stage,family,semantic_label,kernel,nvtx,duration_ns,dram_bytes,bf16_flops,fp32_flops,l2_bytes,ncu_bf16_peak_ops,ncu_dram_peak_bytes,dram_util_pct,tensor_active_pct,sm_util_pct,l2_util_pct,occupancy_pct,issue_active_pct,bf16_counter_peak_pct
587,vlm,QKV,Vision: K projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,11840.0,4000512.0,679477248.0,589824.0,22083840.0,2703034368.0,10190848.0,39.26,50.28,50.28,31.13,8.33,9.35,25.14
588,vlm,QKV,Vision: V projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,11872.0,4001408.0,679477248.0,589824.0,22083520.0,2710824960.0,10219520.0,39.15,50.13,50.13,31.03,8.33,9.34,25.07
589,vlm,Vision attention,Vision: FlashAttention split-KV attention,"void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 1, 0>(pytorch_flash::Flash_fwd_params)",vlm.vision.camera2,14400.000000000002,2092544.0,402653184.0,4259840.0,12262880.0,3349166080.0,12353536.0,16.94,24.04,24.04,18.29,8.3,11.5,12.02
590,vlm,Vision attention,Vision: FlashAttention split-KV combine,"void pytorch_flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, cutlass::bfloat16_t>>, 16, 1, 0>(pytorch_flash::Flash_fwd_params)",vlm.vision.camera2,6752.000000000001,2695296.0,0.0,2260992.0,3435712.0,1577750528.0,5799936.0,46.47,0.0,11.25,11.74,21.15,14.37,0.0
591,vlm,O projection,Vision: attention output projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,12096.0,4003456.0,679477248.0,589824.0,22083200.0,2774480896.0,10420224.0,38.42,48.98,48.98,30.35,8.33,9.25,24.49
592,vlm,Norm / residual,Vision: residual / LayerNorm variant 9,triton_red_fused_add_native_layer_norm_view_9,vlm.vision.camera2,7232.0,3252352.0,0.0,14704652.0,4736736.0,1682280448.0,6201344.0,52.45,0.0,17.8,13.51,45.44,24.51,0.0
593,vlm,FFN up,Vision: FFN up + bias + GELU,triton_tem_fused_addmm_gelu_native_layer_norm_t_view_5,vlm.vision.camera2,30432.000000000004,13038720.0,2566914048.0,17693333.0,82824960.0,6922233856.0,26230784.0,49.71,74.16,74.16,45.45,39.28,13.53,37.08
594,vlm,FFN down,Vision: FFN down + bias,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,33536.0,15094016.0,2566914048.0,1179648.0,80185792.0,7734470656.0,28942336.0,52.15,66.38,66.38,39.53,8.33,8.61,33.19
595,vlm,Norm / residual,Vision: residual / LayerNorm variant 6,triton_red_fused_add_native_layer_norm_view_6,vlm.vision.camera2,4544.0,1331328.0,0.0,11333632.0,2412960.0,1046736896.0,3833856.0,34.73,0.0,17.65,8.83,22.73,28.15,0.0
596,vlm,QKV,Vision: Q projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,12000.0,4004224.0,679477248.0,589824.0,22081344.0,2739359744.0,10313728.0,38.82,49.61,49.61,30.72,8.33,9.3,24.8
