stage,operator,kernel_calls,duration_ns,dram_bytes,bf16_flops,fp32_flops,l2_bytes,ncu_bf16_peak_ops,ncu_dram_peak_bytes,dram_util_pct,tensor_active_pct,sm_util_pct,l2_util_pct,occupancy_pct,issue_active_pct,bf16_counter_peak_pct,ncu_time_ms,dram_gbps,bf16_tflops,fp32_tflops,bf16_ai,fp32_ai,nominal_compute_min_ms,nominal_dram_min_ms,roofline_side,empirical_roofline_side,nominal_roof_pct,diagnosis
vlm,QKV,261,5254560.0,1284182656.0,340267106304.0,258785280.0,11682956832.0,1214644330496.0,4525330432.0,28.398445297037252,55.934000608994864,55.934000608994864,36.65468670259737,8.330000000000004,8.342716177948299,27.967013428336532,5.25456,244.3939465911513,64.75653647574678,0.049249657440394626,264.9678413847072,0.201517501261129,2.859387447932773,1.4863225185185185,compute,compute,54.41725754264436,compute-side; saturation not established
vlm,QK,17,1020192.0,85363712.0,59449016320.0,116111360.0,4240791360.0,234869749760.0,880025600.0,9.70044258335686,50.623310435682704,50.623310435682704,68.70654496408518,39.75647878046485,15.052349048022332,25.311955396631227,1.020192,83.67416329475236,58.27238041466705,0.11381324299739658,696.4202343965549,1.3601957703057712,0.49957156571428574,0.09880059259259259,compute,compute,48.96838690308155,compute-side; saturation not established
vlm,PV,17,1155616.0,323218688.0,61498982400.0,0.0,3885763584.0,234581692416.0,996827136.0,32.423428682192004,52.43514136183646,52.43514136183646,56.24318029518456,39.17707612217207,29.116925483897766,26.217573450004156,1.155616,279.69384986016115,53.217489546700634,0.0,190.27050317090576,0.0,0.5167981714285714,0.3740957037037037,compute,compute,44.72057945100894,compute-side; saturation not established
vlm,O projection,98,2520224.0,654242304.0,191939739648.0,47775744.0,6105721920.0,580356003840.0,2171465728.0,30.141448125246008,66.07276394479221,66.07276394479221,40.07816968650406,16.680551823964855,10.270621912972816,33.03654925911348,2.520224,259.59688662595073,76.15979359295048,0.018956943509783258,293.37714555370604,0.07302454107278272,1.6129389886386554,0.7572248888888888,compute,compute,63.99982654869788,compute-side; saturation not established
vlm,FFN up,115,22701568.0,8384516992.0,2398353358848.0,5253883852.0,60613502592.0,5349352427520.0,19592151040.0,42.79748425483209,89.56837492106273,91.32981242529148,43.82067925528316,36.37150830814859,11.144349810550532,44.78447971875775,22.701568,369.3364701504319,105.64703543156138,0.2314326416571754,286.0455004308971,0.6266173539886601,20.154229906285714,9.704302074074075,compute,compute,88.77902137105998,compute-bound supported
vlm,FFN down,98,12430848.0,3259197056.0,1303136698368.0,596901888.0,32142680256.0,2921439209472.0,10726825984.0,30.390371874871303,89.09514603669837,89.09514603669837,42.161100050455126,14.246355260719143,9.554250664154209,44.547721925326414,12.430848,262.1862206021665,104.83087705424441,0.04801779315457803,399.8336633156311,0.18314384731697547,10.950728557714285,3.772218814814815,compute,compute,88.09317399516337,compute-bound supported
vlm,Vision attention,162,1715008.0,388101120.0,32614907904.0,528187442.0,1272699584.0,399849381888.0,1473363968.0,26.3638101279994,16.334830951225886,19.921828936074924,16.051481135948062,12.430827144829646,12.560957196701125,8.167668955480092,1.715008,226.2969735418144,19.01735030040676,0.3079795791040042,84.0371393517236,1.3609531505603487,0.27407485633613443,0.4491911111111111,memory,memory,26.191779345117403,memory-side; saturation not established
vlm,Softmax,17,688512.0,527963008.0,0.0,609771036.0,718866528.0,161335803904.0,593502208.0,88.95891847927125,0.0,19.810935582822086,21.779735545640452,60.577088678192986,14.807057073805538,0.0,0.688512,766.8174381855364,0.0,0.8856360324874512,0.0,1.1549503028818262,0.0,0.6110682962962963,memory,memory,0,not classified on BF16 roof
vlm,Norm / residual,206,1274208.0,525687936.0,0.0,2582157584.0,868963872.0,295926472704.0,1091563520.0,48.143998091363414,0.0,16.59497250056505,13.254997363067885,43.60838996458978,23.392692182124108,0.0,1.274208,412.56053642733366,0.0,2.0264804364750497,0.0,4.911958991579369,0.0,0.6084351111111111,memory,memory,0,not classified on BF16 roof
vlm,Other,24,299648.0,54598528.0,3623878656.0,12487006.0,392801632.0,69500352512.0,257687552.0,21.186439555745405,16.99829880392995,29.636973515591635,32.894330414352844,28.714237505339604,23.659163818880817,5.2611832550192235,0.299648,182.2088850918411,12.093785561725758,0.04167224877189236,66.37319335788686,0.2287059094340419,0.030452761815126052,0.06319274074074074,memory,memory,21.0889913300742,not classified on BF16 roof
action_expert,QKV,180,4885952.0,1098664576.0,60397977600.0,79626240.0,2251148256.0,1156293697536.0,4210839552.0,26.091286889433203,10.447020224513064,10.447020224513064,7.480239904116945,8.33,4.31090466709456,5.223452641368564,4.885952,224.8619257823245,12.361557706665968,0.016296975492186578,54.97399198934398,0.07247547772032653,0.5075460302521009,1.2716025185185185,memory,memory,26.025685854435707,memory-side; saturation not established
action_expert,QK,180,1132992.0,149109888.0,38031851520.0,74280960.0,2611999392.0,257339011072.0,970715136.0,15.360834886742353,29.557558323448003,29.557558323448003,38.6661921708185,32.924496977913364,11.829824323560976,14.779256623171207,1.132992,131.60718522284358,33.56762582613117,0.06556176919166244,255.0592186079571,0.4981625363436662,0.3195953909243697,0.17258088888888887,compute,compute,28.208088929521992,compute-side; saturation not established
action_expert,PV,180,1450528.0,299404032.0,39258685440.0,0.0,2921548928.0,331962480640.0,1245069312.0,24.04699199188157,23.65285667012288,23.65285667012288,33.579681440137655,9.444015751505658,7.022376844845461,11.826316486134704,1.450528,206.41037746255157,27.065100046327956,0.0,131.12276804608965,0.0,0.3299049196638656,0.3465324444444444,memory,memory,23.890089984091613,memory-side; saturation not established
action_expert,O projection,180,1772704.0,948803840.0,48318382080.0,23592960.0,2804061376.0,407874609152.0,1522909184.0,62.30177951874651,23.69349477408523,23.69349477408523,26.277341913822045,8.32,6.808260555625753,11.84686138238533,1.772704,535.2297055797245,27.256881058541076,0.01330902395436576,50.92557601790482,0.024866003914992586,0.40603682420168064,1.0981525925925926,memory,memory,61.9478825902459,memory-side; saturation not established
action_expert,FFN up,180,4808384.0,3467967616.0,193273528320.0,519045120.0,4328968960.0,1123849787392.0,4143218688.0,83.70215024424006,34.39493484713366,34.39493484713366,20.72633593323663,8.330000000000002,7.101586695238979,17.197803037361403,4.808384,721.2334988220575,40.1951109395589,0.10794585457401072,55.73106491199715,0.14966838721483608,1.6241472968067225,4.013851407407407,memory,memory,83.47609940070109,DRAM-bound supported
action_expert,FFN down,180,2856576.0,1825743872.0,96636764160.0,23592960.0,7315800384.0,653248935936.0,2458537984.0,74.26134113008021,29.587090110677956,29.587090110677956,42.68987285477439,8.330000000000004,8.886186539409415,14.793342855222471,2.856576,639.1371600125465,33.829579244522115,0.008259174620244657,52.93007723703317,0.01292238213794755,0.8120736484033613,2.113129481481481,memory,memory,73.97420833478547,DRAM-bound supported
action_expert,Softmax,180,988640.0,308890752.0,0.0,344448000.0,518068672.0,231118970880.0,845676544.0,36.52614079948213,0.0,7.209798349247448,9.361874089658526,8.974036899174619,8.89610066353779,0.0,0.98864,312.4400712089335,0.0,0.348405890920861,0.0,1.1151126984857094,0.0,0.3575124444444444,memory,memory,0,not classified on BF16 roof
action_expert,Norm / residual,370,1068384.0,45538048.0,0.0,132608000.0,264336608.0,249158498304.0,907038720.0,5.020649953574741,0.0,1.5816784976188352,4.075355078323905,8.147885704016531,4.174949531254686,0.0,1.068384,42.62329649264684,0.0,0.12412016653188367,0.0,2.9120264443482515,0.0,0.05270607407407407,memory,memory,0,not classified on BF16 roof
action_expert,Action IO,20,64288.0,2958080.0,125829120.0,368640.0,10720960.0,15032045568.0,54763520.0,5.39989049278248,1.6743653558984573,2.304315579890493,3.260059731209557,8.321214534594326,7.951493280238926,0.8358586361373819,0.064288,46.01294176207068,1.957272274763564,0.005734196117471379,42.53742968411943,0.12462137602769364,0.0010573875630252101,0.003423703703703704,memory,memory,5.325571963202625,not classified on BF16 roof
action_expert,Other,4,10752.0,93568.0,0.0,0.0,701440.0,2505902080.0,9076736.0,1.026577380952381,0.0,0.0518452380952381,1.071607142857143,8.130654761904761,3.3472023809523805,0.0,0.010752,8.702380952380953,0.0,0.0,0.0,0.0,0.0,0.00010829629629629629,memory,memory,0,not classified on BF16 roof
