group_id,operator,domain,memory_level,invocations,flops,duration_ns,memory_bytes,mean_duration_ns,ai_flops_per_byte,performance_tflops,status
1,"Prefix FFN: GELU product | triton_poi_fused_gelu_mul_split_0 | grid=(29376, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,17,0.0,5840576.0,1536246848.0,343563.29411764705,,,zero_counted_flops
12,"Prefix: concatenate image/text embeddings | void at::<unnamed>::CatArrayBatchedCopy_vectorized<at::<unnamed>::OpaqueType<2>, unsigned int, 2, 128, 1, 16, 8>(char *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2) | grid=(512, 4, 1) block=(128, 1, 1)",bf16_tensor,l2,1,0.0,28000.000000000004,7985632.0,28000.000000000004,,,zero_counted_flops
12,"Prefix: concatenate image/text embeddings | void at::<unnamed>::CatArrayBatchedCopy_vectorized<at::<unnamed>::OpaqueType<2>, unsigned int, 2, 128, 1, 16, 8>(char *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2) | grid=(512, 4, 1) block=(128, 1, 1)",fp32_simt,l2,1,0.0,28000.000000000004,7985632.0,28000.000000000004,,,zero_counted_flops
13,"Prefix: mask conversion/copy | void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7) | grid=(2, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,1,0.0,15872.0,129856.0,15872.0,,,zero_counted_flops
13,"Prefix: mask conversion/copy | void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7) | grid=(2, 1, 1) block=(128, 1, 1)",fp32_simt,l2,1,0.0,15872.0,129856.0,15872.0,,,zero_counted_flops
14,"Prefix: valid-length fill | void at::vectorized_elementwise_kernel<4, at::FillFunctor<int>, std::array<char *, 1>>(int, T2, T3) | grid=(1, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,1,0.0,12288.000000000002,33440.0,12288.000000000002,,,zero_counted_flops
14,"Prefix: valid-length fill | void at::vectorized_elementwise_kernel<4, at::FillFunctor<int>, std::array<char *, 1>>(int, T2, T3) | grid=(1, 1, 1) block=(128, 1, 1)",fp32_simt,l2,1,0.0,12288.000000000002,33440.0,12288.000000000002,,,zero_counted_flops
15,"Text: embedding lookup | void at::vectorized_gather_kernel<16, long>(char *, char *, T2 *, int, long, long, long, long, bool) | grid=(200, 1, 1) block=(256, 1, 1)",bf16_tensor,l2,1,0.0,18560.000000000004,1181088.0,18560.000000000004,,,zero_counted_flops
15,"Text: embedding lookup | void at::vectorized_gather_kernel<16, long>(char *, char *, T2 *, int, long, long, long, long, bool) | grid=(200, 1, 1) block=(256, 1, 1)",fp32_simt,l2,1,0.0,18560.000000000004,1181088.0,18560.000000000004,,,zero_counted_flops
16,"Text: embedding scale | void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) | grid=(800, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,1,0.0,20064.0,1759424.0,20064.0,,,zero_counted_flops
16,"Text: embedding scale | void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) | grid=(800, 1, 1) block=(128, 1, 1)",fp32_simt,l2,1,409600.0,20064.0,1759424.0,20064.0,0.23280346295151141,0.020414673046251993,ok
17,"Vision: FFN GELU | triton_poi_fused_gelu_view_5 | grid=(2152, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,81,0.0,1998592.0,361260864.0,24673.975308641977,,,zero_counted_flops
17,"Vision: FFN GELU | triton_poi_fused_gelu_view_5 | grid=(2152, 1, 1) block=(128, 1, 1)",fp32_simt,l2,81,1223341926.0,1998592.0,361260864.0,24673.975308641977,3.3863117982245647,0.6121018827254388,ok
18,"Vision: FFN contraction + bias | nvjet_sm110_tst_144x128_64x6_4x1_v_bz_bias_TNN | grid=(16, 1, 1) block=(256, 1, 1)",bf16_tensor,l2,81,207920037888.0,6220608.0,1994758432.0,76797.62962962964,104.23319162487942,33.42439161702522,ok
18,"Vision: FFN contraction + bias | nvjet_sm110_tst_144x128_64x6_4x1_v_bz_bias_TNN | grid=(16, 1, 1) block=(256, 1, 1)",fp32_simt,l2,81,71663616.0,6220608.0,1994758432.0,76797.62962962964,0.03592596218688399,0.011520355566529831,ok
19,"Vision: FFN expansion + bias | nvjet_sm110_tst_224x128_64x7_1x2_2cta_h_bz_bias_TNN | grid=(40, 1, 1) block=(256, 1, 1)",bf16_tensor,l2,81,214035333120.0,4939520.0,1885537152.0,60981.72839506173,113.51424865480455,43.331200829230376,ok
19,"Vision: FFN expansion + bias | nvjet_sm110_tst_224x128_64x7_1x2_2cta_h_bz_bias_TNN | grid=(40, 1, 1) block=(256, 1, 1)",fp32_simt,l2,81,278691840.0,4939520.0,1885537152.0,60981.72839506173,0.14780501126927675,0.056420834413060374,ok
20,"Vision: FlashAttention | void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<96, 128, 64, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 128, 64, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 0, 0>(pytorch_flash::Flash_fwd_params) | grid=(2, 1, 16) block=(128, 1, 1)",bf16_tensor,l2,81,32614907904.0,2557312.0,443825568.0,31571.753086419754,73.48586980009227,12.75358966915261,ok
20,"Vision: FlashAttention | void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<96, 128, 64, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 128, 64, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 0, 0>(pytorch_flash::Flash_fwd_params) | grid=(2, 1, 16) block=(128, 1, 1)",fp32_simt,l2,81,411402298.0,2557312.0,443825568.0,31571.753086419754,0.9269459167345672,0.16087293924245458,ok
21,"Vision: NCHW → NHWC (input) | void cudnn::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, 0, 1, 0>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *) | grid=(1568, 1, 1) block=(256, 1, 1)",bf16_tensor,l2,3,0.0,85312.0,4700000.0,28437.333333333332,,,zero_counted_flops
