id,process_id,device,context,stream,kernel,grid,block,operator,nvtx_export,nvtx,stage,group_id,domain,duration_ns,memory_level,memory_bytes,dram_bytes,flops,ai_flops_per_byte,performance_tflops,status,source_line
0,2728813,0,1,7,triton_poi_fused__to_copy_convolution_0,"(25, 1, 1)","(128, 1, 1)","Vision: input cast/layout | triton_poi_fused__to_copy_convolution_0 | grid=(25, 1, 1) block=(128, 1, 1)",vlm.vision.camera0/triton_poi_fused__to_copy_convolution_0,vlm.vision.camera0,vlm,27,bf16_tensor,7360.000000000001,l2,958496.0,,0.0,,,zero_counted_flops,
5,2728813,0,1,7,triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_1,"(36, 1, 1)","(256, 1, 1)","Vision: patch/LayerNorm fusion 1 | triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_1 | grid=(36, 1, 1) block=(256, 1, 1)",vlm.vision.camera0/triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_1,vlm.vision.camera0,vlm,29,fp32_simt,21312.000000000004,l2,1317728.0,,3824640.0,2.902450278054348,0.17945945945945943,ok,
6,2728813,0,1,7,triton_per_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_2,"(16, 1, 1)","(128, 1, 1)","Vision: patch/LayerNorm fusion 2 | triton_per_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_2 | grid=(16, 1, 1) block=(128, 1, 1)",vlm.vision.camera0/triton_per_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_2,vlm.vision.camera0,vlm,30,bf16_tensor,14272.000000000002,l2,78560.0,,0.0,,,zero_counted_flops,
6,2728813,0,1,7,triton_per_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_2,"(16, 1, 1)","(128, 1, 1)","Vision: patch/LayerNorm fusion 2 | triton_per_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_2 | grid=(16, 1, 1) block=(128, 1, 1)",vlm.vision.camera0/triton_per_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_2,vlm.vision.camera0,vlm,30,fp32_simt,14272.000000000002,l2,78560.0,,140288.0,1.785743380855397,0.009829596412556053,ok,
7,2728813,0,1,7,triton_poi_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_3,"(9, 1, 1)","(1024, 1, 1)","Vision: patch/LayerNorm fusion 3 | triton_poi_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_3 | grid=(9, 1, 1) block=(1024, 1, 1)",vlm.vision.camera0/triton_poi_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_3,vlm.vision.camera0,vlm,31,bf16_tensor,24224.0,l2,1874816.0,,0.0,,,zero_counted_flops,
7,2728813,0,1,7,triton_poi_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_3,"(9, 1, 1)","(1024, 1, 1)","Vision: patch/LayerNorm fusion 3 | triton_poi_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_3 | grid=(9, 1, 1) block=(1024, 1, 1)",vlm.vision.camera0/triton_poi_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_3,vlm.vision.camera0,vlm,31,fp32_simt,24224.0,l2,1874816.0,,1843200.0,0.9831364784597528,0.07608982826948481,ok,
8,2728813,0,1,7,nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT,"(18, 1, 1)","(256, 1, 1)","Vision: attention Q/K/V/O projections | nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT | grid=(18, 1, 1) block=(256, 1, 1)",vlm.vision.camera0/nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT,vlm.vision.camera0,vlm,24,bf16_tensor,28576.000000000004,l2,8001216.0,,679477248.0,84.92174789432006,23.77789921612542,ok,
8,2728813,0,1,7,nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT,"(18, 1, 1)","(256, 1, 1)","Vision: attention Q/K/V/O projections | nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT | grid=(18, 1, 1) block=(256, 1, 1)",vlm.vision.camera0/nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT,vlm.vision.camera0,vlm,24,fp32_simt,28576.000000000004,l2,8001216.0,,884736.0,0.11057519257072924,0.03096080627099664,ok,
9,2728813,0,1,7,nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT,"(18, 1, 1)","(256, 1, 1)","Vision: attention Q/K/V/O projections | nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT | grid=(18, 1, 1) block=(256, 1, 1)",vlm.vision.camera0/nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT,vlm.vision.camera0,vlm,24,bf16_tensor,27840.0,l2,8002240.0,,679477248.0,84.91088095333306,24.406510344827584,ok,
9,2728813,0,1,7,nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT,"(18, 1, 1)","(256, 1, 1)","Vision: attention Q/K/V/O projections | nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT | grid=(18, 1, 1) block=(256, 1, 1)",vlm.vision.camera0/nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT,vlm.vision.camera0,vlm,24,fp32_simt,27840.0,l2,8002240.0,,884736.0,0.11056104290798577,0.03177931034482758,ok,
10,2728813,0,1,7,nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT,"(18, 1, 1)","(256, 1, 1)","Vision: attention Q/K/V/O projections | nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT | grid=(18, 1, 1) block=(256, 1, 1)",vlm.vision.camera0/nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT,vlm.vision.camera0,vlm,24,bf16_tensor,27776.000000000004,l2,8002688.0,,679477248.0,84.90612754114618,24.462746543778803,ok,
