"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","c2clink__enabled_mask","c2clink__present","device__attribute_architecture","device__attribute_async_engine_count","device__attribute_can_flush_remote_writes","device__attribute_can_map_host_memory","device__attribute_can_tex2d_gather","device__attribute_can_use_64_bit_stream_mem_ops","device__attribute_can_use_64_bit_stream_mem_ops_v1","device__attribute_can_use_host_pointer_for_registered_mem","device__attribute_can_use_stream_mem_ops_v1","device__attribute_can_use_stream_wait_value_nor","device__attribute_can_use_stream_wait_value_nor_v1","device__attribute_chip","device__attribute_clock_rate","device__attribute_cluster_launch","device__attribute_compute_capability_major","device__attribute_compute_capability_minor","device__attribute_compute_mode","device__attribute_compute_preemption_supported","device__attribute_concurrent_kernels","device__attribute_concurrent_managed_access","device__attribute_confidential_computing_mode","device__attribute_cooperative_launch","device__attribute_cooperative_multi_device_launch","device__attribute_deferred_mapping_cuda_array_supported","device__attribute_device_index","device__attribute_direct_managed_mem_access_from_host","device__attribute_display_name","device__attribute_dma_buf_supported","device__attribute_ecc_enabled","device__attribute_fb_bus_width","device__attribute_fbp_count","device__attribute_generic_compression_supported","device__attribute_global_l1_cache_supported","device__attribute_global_memory_bus_width","device__attribute_gpu_direct_rdma_flush_writes_options","device__attribute_gpu_direct_rdma_supported","device__attribute_gpu_direct_rdma_with_cuda_vmm_supported","device__attribute_gpu_direct_rdma_writes_ordering","device__attribute_gpu_overlap","device__attribute_gpu_pci_device_id","device__attribute_gpu_pci_ext_device_id","device__attribute_gpu_pci_ext_downstream_link_rate","device__attribute_gpu_pci_ext_downstream_link_width","device__attribute_gpu_pci_ext_gen","device__attribute_gpu_pci_ext_gpu_gen","device__attribute_gpu_pci_ext_gpu_link_rate","device__attribute_gpu_pci_ext_gpu_link_width","device__attribute_gpu_pci_revision_id","device__attribute_gpu_pci_sub_system_id","device__attribute_handle_type_fabric_supported","device__attribute_handle_type_posix_file_descriptor_supported","device__attribute_handle_type_win32_handle_supported","device__attribute_handle_type_win32_kmt_handle_supported","device__attribute_host_native_atomic_supported","device__attribute_host_numa_id","device__attribute_host_register_supported","device__attribute_implementation","device__attribute_integrated","device__attribute_ipc_event_supported","device__attribute_kernel_exec_timeout","device__attribute_l2_cache_size","device__attribute_l2s_count","device__attribute_limits_max_cta_per_sm","device__attribute_limits_num_tpcs","device__attribute_local_l1_cache_supported","device__attribute_managed_memory","device__attribute_max_access_policy_window_size","device__attribute_max_block_dim_x","device__attribute_max_block_dim_y","device__attribute_max_block_dim_z","device__attribute_max_blocks_per_multiprocessor","device__attribute_max_gpu_frequency_khz","device__attribute_max_grid_dim_x","device__attribute_max_grid_dim_y","device__attribute_max_grid_dim_z","device__attribute_max_ipc_per_multiprocessor","device__attribute_max_ipc_per_scheduler","device__attribute_max_mem_frequency_khz","device__attribute_max_persisting_l2_cache_size","device__attribute_max_pitch","device__attribute_max_registers_per_block","device__attribute_max_registers_per_multiprocessor","device__attribute_max_registers_per_thread","device__attribute_max_shared_memory_per_block","device__attribute_max_shared_memory_per_block_optin","device__attribute_max_shared_memory_per_multiprocessor","device__attribute_max_threads_per_block","device__attribute_max_threads_per_multiprocessor","device__attribute_max_warps_per_multiprocessor","device__attribute_max_warps_per_scheduler","device__attribute_maximum_surface1d_layered_layers","device__attribute_maximum_surface1d_layered_width","device__attribute_maximum_surface1d_width","device__attribute_maximum_surface2d_height","device__attribute_maximum_surface2d_layered_height","device__attribute_maximum_surface2d_layered_layers","device__attribute_maximum_surface2d_layered_width","device__attribute_maximum_surface2d_width","device__attribute_maximum_surface3d_depth","device__attribute_maximum_surface3d_height","device__attribute_maximum_surface3d_width","device__attribute_maximum_surfacecubemap_layered_layers","device__attribute_maximum_surfacecubemap_layered_width","device__attribute_maximum_surfacecubemap_width","device__attribute_maximum_texture1d_layered_layers","device__attribute_maximum_texture1d_layered_width","device__attribute_maximum_texture1d_linear_width","device__attribute_maximum_texture1d_mipmapped_width","device__attribute_maximum_texture1d_width","device__attribute_maximum_texture2d_gather_height","device__attribute_maximum_texture2d_gather_width","device__attribute_maximum_texture2d_height","device__attribute_maximum_texture2d_layered_height","device__attribute_maximum_texture2d_layered_layers","device__attribute_maximum_texture2d_layered_width","device__attribute_maximum_texture2d_linear_height","device__attribute_maximum_texture2d_linear_pitch","device__attribute_maximum_texture2d_linear_width","device__attribute_maximum_texture2d_mipmapped_height","device__attribute_maximum_texture2d_mipmapped_width","device__attribute_maximum_texture2d_width","device__attribute_maximum_texture3d_depth","device__attribute_maximum_texture3d_depth_alternate","device__attribute_maximum_texture3d_height","device__attribute_maximum_texture3d_height_alternate","device__attribute_maximum_texture3d_width","device__attribute_maximum_texture3d_width_alternate","device__attribute_maximum_texturecubemap_layered_layers","device__attribute_maximum_texturecubemap_layered_width","device__attribute_maximum_texturecubemap_width","device__attribute_mem_sync_domain_count","device__attribute_memory_clock_rate","device__attribute_memory_pools_supported","device__attribute_mempool_supported_handle_types","device__attribute_mps_enabled","device__attribute_multi_gpu_board","device__attribute_multi_gpu_board_group_id","device__attribute_multicast_supported","device__attribute_multiprocessor_count","device__attribute_num_l2s_per_fbp","device__attribute_num_schedulers_per_multiprocessor","device__attribute_num_tex_per_multiprocessor","device__attribute_numa_config","device__attribute_pageable_memory_access","device__attribute_pageable_memory_access_uses_host_page_tables","device__attribute_pci_bus_id","device__attribute_pci_device_id","device__attribute_pci_domain_id","device__attribute_ram_location","device__attribute_ram_type","device__attribute_reserved_shared_memory_per_block","device__attribute_sass_level","device__attribute_single_to_double_precision_perf_ratio","device__attribute_sparse_cuda_array_supported","device__attribute_stream_priorities_supported","device__attribute_surface_alignment","device__attribute_tcc_driver","device__attribute_tensor_map_access_supported","device__attribute_texture_alignment","device__attribute_texture_pitch_alignment","device__attribute_total_constant_memory","device__attribute_total_memory","device__attribute_unified_addressing","device__attribute_unified_function_pointers","device__attribute_virtual_address_management_supported","device__attribute_warp_size","dram__bytes_read.avg","dram__bytes_read.max","dram__bytes_read.min","dram__bytes_read.sum","dram__bytes_write.avg","dram__bytes_write.max","dram__bytes_write.min","dram__bytes_write.sum","dram__throughput.avg.pct_of_peak_sustained_elapsed","dram__throughput.max.pct_of_peak_sustained_elapsed","dram__throughput.min.pct_of_peak_sustained_elapsed","dram__throughput.sum.pct_of_peak_sustained_elapsed","gpu__time_duration.avg","gpu__time_duration.max","gpu__time_duration.min","gpu__time_duration.sum","inst_executed","launch__barrier_count","launch__block_dim_x","launch__block_dim_y","launch__block_dim_z","launch__block_size","launch__context_id","launch__device_id","launch__func_cache_config","launch__function_pcs","launch__grid_dim_x","launch__grid_dim_y","launch__grid_dim_z","launch__grid_size","launch__kernel_name","launch__occupancy_limit_blocks","launch__occupancy_limit_registers","launch__occupancy_limit_shared_mem","launch__occupancy_limit_warps","launch__occupancy_per_block_size","launch__occupancy_per_register_count","launch__occupancy_per_shared_mem_size","launch__registers_per_thread","launch__registers_per_thread_allocated","launch__shared_mem_config_size","launch__shared_mem_per_block","launch__shared_mem_per_block_allocated","launch__shared_mem_per_block_driver","launch__shared_mem_per_block_dynamic","launch__shared_mem_per_block_static","launch__sm_count","launch__stack_size","launch__stream_id","launch__thread_count","launch__tpc_count","launch__tpc_enabled","launch__uses_cdp","launch__uses_green_context","launch__uses_vgpu","launch__waves_per_multiprocessor","numa__cpu_affinity","numa__dev_display_name_all","numa__id_cpu","numa__id_memory","nvlink__bandwidth","nvlink__count_logical","nvlink__count_physical","nvlink__destination_ports","nvlink__dev0Id","nvlink__dev0type","nvlink__dev1Id","nvlink__dev1type","nvlink__dev_display_name_all","nvlink__enabled_mask","nvlink__is_direct_link","nvlink__is_nvswitch_connected","nvlink__max_count","nvlink__peer_access","nvlink__peer_atomic","nvlink__source_ports","nvlink__system_access","nvlink__system_atomic","profiler__perfworks_session_reuse","profiler__replayer_passes","profiler__replayer_passes_type_warmup","sm__maximum_warps_avg_per_active_cycle","sm__maximum_warps_per_active_cycle_pct","sm__ops_path_tensor_src_bf16_dst_fp32.avg","sm__ops_path_tensor_src_bf16_dst_fp32.max","sm__ops_path_tensor_src_bf16_dst_fp32.min","sm__ops_path_tensor_src_bf16_dst_fp32.sum","sm__pipe_tensor_cycles_active_v2.avg.pct_of_peak_sustained_elapsed","sm__pipe_tensor_cycles_active_v2.max.pct_of_peak_sustained_elapsed","sm__pipe_tensor_cycles_active_v2.min.pct_of_peak_sustained_elapsed","sm__pipe_tensor_cycles_active_v2.sum.pct_of_peak_sustained_elapsed","smsp__maximum_warps_avg_per_active_cycle","smsp__sass_thread_inst_executed_op_fadd_pred_on.avg","smsp__sass_thread_inst_executed_op_fadd_pred_on.max","smsp__sass_thread_inst_executed_op_fadd_pred_on.min","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","smsp__sass_thread_inst_executed_op_ffma_pred_on.avg","smsp__sass_thread_inst_executed_op_ffma_pred_on.max","smsp__sass_thread_inst_executed_op_ffma_pred_on.min","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","smsp__sass_thread_inst_executed_op_fmul_pred_on.avg","smsp__sass_thread_inst_executed_op_fmul_pred_on.max","smsp__sass_thread_inst_executed_op_fmul_pred_on.min","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","byte","byte","byte","byte","byte","byte","byte","byte","%","%","%","%","ns","ns","ns","ns","inst","","block","block","block","","","","","","","","","","","block","block","block","block","","","","register/thread","register/thread","byte","byte/block","byte/block","byte/block","byte/block","byte/block","SM","","","thread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pass","pass","warp","%","","","","","%","%","%","%","warp","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst"
"0","2004898","python3.11","127.0.0.1","2004898  ""<default domain>:compute_reference:none:none:none:none:none:none""  ""<default domain>:bf16_tensor:none:none:none:none:none:none"" ","","ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nn","1","7","(128, 1, 1)","(64, 64, 1)","0","8.9","0.00","0.00","400.00","2.00","0.00","1.00","1.00","1.00","0.00","1.00","0.00","1.00","0.00","402.00","2520000.00","0.00","8.00","9.00","0.00","1.00","1.00","1.00","No-CC","1.00","1.00","1.00","0.00","0.00","NVIDIA L20","1.00","1.00","384.00","6.00","1.00","1.00","384.00","1.00","1.00","1.00","0.00","1.00","649728222.00","9914.00","32000.00","16.00","3.00","3.00","16000.00","16.00","161.00","425136350.00","1.00","1.00","0.00","0.00","0.00","0.00","1.00","402.00","0.00","1.00","0.00","100663296.00","48.00","24.00","46.00","1.00","1.00","134213632.00","1024.00","1024.00","64.00","24.00","2520000.00","2147483647.00","65535.00","65535.00","4.00","1.00","9001000.00","69206016.00","2147483647.00","65536.00","65536.00","255.00","49152.00","101376.00","102400.00","1024.00","1536.00","48.00","12.00","2048.00","32768.00","32768.00","65536.00","32768.00","2048.00","32768.00","131072.00","16384.00","16384.00","16384.00","2046.00","32768.00","32768.00","2048.00","32768.00","268435456.00","32768.00","131072.00","32768.00","32768.00","65536.00","32768.00","2048.00","32768.00","65000.00","2097120.00","131072.00","32768.00","32768.00","131072.00","16384.00","32768.00","16384.00","8192.00","16384.00","8192.00","2046.00","32768.00","32768.00","1.00","9001000.00","1.00","9.00","0.00","0.00","0.00","0.00","92.00","8.00","4.00","1.00","0.00","1.00","0.00","74.00","0.00","0.00","1.00","17.00","1024.00","8.00","64.00","1.00","1.00","512.00","0.00","0.00","512.00","32.00","65536.00","47695921152.00","1.00","0.00","1.00","32.00","89490421.33","89800064.00","89191040.00","1073885056.00","12972768.00","13062912.00","12902400.00","155673216.00","15.15","15.21","15.10","15.15","9401536.00","9401536.00","9401536.00","9401536.00","774946816.00","1.00","128.00","1.00","1.00","128.00","1.00","0.00","CachePreferNone","1.00","64.00","64.00","1.00","4096.00","","24.00","2.00","3.00","12.00","101.00","2732.00","1200.00","234.00","240.00","102400.00","33792.00","33792.00","1024.00","0.00","32768.00","92.00","1024.00","7.00","524288.00","46.00","all","0.00","0.00","0.00","22.26","1.00","1.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.00","0.00","8.00","16.67","11951213345.39","12079595520.00","11811160064.00","1099511627776.00","98.53","99.59","97.38","98.53","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","182361.04","184320.00","180224.00","67108864.00"
"1","2004898","python3.11","127.0.0.1","2004898  ""<default domain>:compute_reference:none:none:none:none:none:none""  ""<default domain>:fp32_simt:none:none:none:none:none:none"" ","","void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params)","1","7","(256, 1, 1)","(512, 4, 1)","0","8.9","0.00","0.00","400.00","2.00","0.00","1.00","1.00","1.00","0.00","1.00","0.00","1.00","0.00","402.00","2520000.00","0.00","8.00","9.00","0.00","1.00","1.00","1.00","No-CC","1.00","1.00","1.00","0.00","0.00","NVIDIA L20","1.00","1.00","384.00","6.00","1.00","1.00","384.00","1.00","1.00","1.00","0.00","1.00","649728222.00","9914.00","32000.00","16.00","3.00","3.00","16000.00","16.00","161.00","425136350.00","1.00","1.00","0.00","0.00","0.00","0.00","1.00","402.00","0.00","1.00","0.00","100663296.00","48.00","24.00","46.00","1.00","1.00","134213632.00","1024.00","1024.00","64.00","24.00","2520000.00","2147483647.00","65535.00","65535.00","4.00","1.00","9001000.00","69206016.00","2147483647.00","65536.00","65536.00","255.00","49152.00","101376.00","102400.00","1024.00","1536.00","48.00","12.00","2048.00","32768.00","32768.00","65536.00","32768.00","2048.00","32768.00","131072.00","16384.00","16384.00","16384.00","2046.00","32768.00","32768.00","2048.00","32768.00","268435456.00","32768.00","131072.00","32768.00","32768.00","65536.00","32768.00","2048.00","32768.00","65000.00","2097120.00","131072.00","32768.00","32768.00","131072.00","16384.00","32768.00","16384.00","8192.00","16384.00","8192.00","2046.00","32768.00","32768.00","1.00","9001000.00","1.00","9.00","0.00","0.00","0.00","0.00","92.00","8.00","4.00","1.00","0.00","1.00","0.00","74.00","0.00","0.00","1.00","17.00","1024.00","8.00","64.00","1.00","1.00","512.00","0.00","0.00","512.00","32.00","65536.00","47695921152.00","1.00","0.00","1.00","32.00","242356842.67","244652800.00","238790144.00","2908282112.00","26432810.67","26481920.00","26387328.00","317193728.00","14.93","15.06","14.73","14.93","25021632.00","25021632.00","25021632.00","25021632.00","19168493568.00","1.00","256.00","1.00","1.00","256.00","1.00","0.00","CachePreferNone","1.00","512.00","4.00","1.00","2048.00","","24.00","1.00","1.00","6.00","73.00","2056.00","776.00","202.00","208.00","65536.00","50176.00","50176.00","1024.00","49152.00","0.00","92.00","1024.00","7.00","524288.00","46.00","all","0.00","0.00","0.00","22.26","1.00","1.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","4.00","0.00","8.00","16.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.00","0.00","0.00","0.00","0.00","1493901668.17","1946157056.00","1006632960.00","549755813888.00","182361.04","237568.00","122880.00","67108864.00"
