id,kernel,grid,block,stage,family,module,nvtx,duration_ns,dram_bytes,bf16_flops,fp32_flops,dram_util_pct,tensor_active_pct
740,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::BFloat16>, std::array<char *, 3>>(int, T2, T3)","(1836, 1, 1)","(128, 1, 1)",vlm,Other,prefix,vlm|Other|prefix,12064.0,8416384.0,0.0,3760128.0,81.09,0.0
741,"void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","(3672, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,10240.0,4406400.0,0.0,0.0,50.08,0.0
742,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","(1836, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,12032.000000000002,8456704.0,0.0,1880064.0,81.86,0.0
743,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>>(T3)","(58, 1, 1)","(32, 16, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,13920.0,8676736.0,0.0,2117590.0,72.55,0.0
744,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(int, T2, T3)","(1, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,2080.0,9344.0,0.0,2048.0,0.54,0.0
745,"void at::vectorized_elementwise_kernel<4, at::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","(1, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,2080.0,11136.0,0.0,0.0,0.63,0.0
746,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl<at::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","(3672, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,13248.0,4525824.0,0.0,1880064.0,39.83,0.0
747,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(int, T2, T3)","(2, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,1984.0,14592.0,0.0,4096.0,0.88,0.0
748,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","(7344, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,12448.0,8578432.0,0.0,1880064.0,80.24,0.0
749,"void at::vectorized_elementwise_kernel<4, at::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","(1836, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.input_layernorm,12000.0,8393088.0,0.0,0.0,81.25,0.0
750,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_tn_align8>(T1::Params),"(120, 5, 1)","(128, 1, 1)",vlm,QKV,paligemma_with_expert.paligemma.model.language_model.layers.13.self_attn.qkv_proj,vlm|QKV|paligemma_with_expert.paligemma.model.language_model.layers.13.self_attn.qkv_proj,100672.0,17845120.0,10066329600.0,4915200.0,20.54,86.82
751,triton_poi_fused__to_copy_add_cat_mul_neg_slice_unsqueeze_0,"(3672, 1, 1)","(256, 1, 1)",vlm,Other,prefix,vlm|Other|prefix,17088.0,5474560.0,0.0,7520256.0,37.17,0.0
752,triton_poi_fused__to_copy_add_cat_mul_neg_slice_unsqueeze_1,"(459, 1, 1)","(256, 1, 1)",vlm,Other,prefix,vlm|Other|prefix,4032.0000000000005,1595392.0,0.0,940032.0,46.31,0.0
