utc,pid,rss_bytes,process_hwm_bytes,host_available_bytes,gpu_gpc_cur_hz,gpu_gpc_min_hz,gpu_gpc_max_hz
2026-09-13T11:45:22.240853+00:00,2728813,5928689664,19650097152,89353482240,1575000000,1575000000,1575000000
2026-09-13T11:45:32.241519+00:00,2728813,5928689664,19650097152,89387941888,1575000000,1575000000,1575000000
2026-09-13T11:45:42.242166+00:00,2728813,5928689664,19650097152,89373523968,1575000000,1575000000,1575000000
2026-09-13T11:45:52.242866+00:00,2728813,5928689664,19650097152,89356558336,1575000000,1575000000,1575000000
2026-09-13T11:46:02.243499+00:00,2728813,5928689664,19650097152,89357209600,1575000000,1575000000,1575000000
2026-09-13T11:46:12.244214+00:00,2728813,5928689664,19650097152,105457741824,1575000000,1575000000,1575000000
2026-09-13T11:46:22.245084+00:00,2728813,5928689664,19650097152,89362178048,1575000000,1575000000,1575000000
2026-09-13T11:46:32.245784+00:00,2728813,5928689664,19650097152,89352863744,1575000000,1575000000,1575000000
2026-09-13T11:46:42.248567+00:00,2728813,5928689664,19650097152,89376182272,1575000000,1575000000,1575000000
2026-09-13T11:46:52.469646+00:00,2728813,5928689664,19650097152,89393811456,1575000000,1575000000,1575000000
2026-09-13T11:47:02.470334+00:00,2728813,5928689664,19650097152,89395888128,1575000000,1575000000,1575000000
2026-09-13T11:47:12.498967+00:00,2728813,5928689664,19650097152,89371250688,1575000000,1575000000,1575000000
2026-09-13T11:47:22.499703+00:00,2728813,5928689664,19650097152,89366835200,1575000000,1575000000,1575000000
2026-09-13T11:47:32.500578+00:00,2728813,5928689664,19650097152,89387569152,1575000000,1575000000,1575000000
2026-09-13T11:47:42.501377+00:00,2728813,5928689664,19650097152,105512042496,1575000000,1575000000,1575000000
2026-09-13T11:47:52.552910+00:00,2728813,5928689664,19650097152,89368891392,1575000000,1575000000,1575000000
2026-09-13T11:48:02.553721+00:00,2728813,5928689664,19650097152,105479639040,1575000000,1575000000,1575000000
2026-09-13T11:48:12.559698+00:00,2728813,5928689664,19650097152,89373126656,1575000000,1575000000,1575000000
2026-09-13T11:48:22.560483+00:00,2728813,5928689664,19650097152,89363513344,1575000000,1575000000,1575000000
2026-09-13T11:48:32.561402+00:00,2728813,5928689664,19650097152,89366814720,1575000000,1575000000,1575000000
2026-09-13T11:48:42.564484+00:00,2728813,5928689664,19650097152,89337704448,1575000000,1575000000,1575000000
2026-09-13T11:48:52.565232+00:00,2728813,5928689664,19650097152,89349775360,1575000000,1575000000,1575000000
2026-09-13T11:49:02.565923+00:00,2728813,5928689664,19650097152,89375817728,1575000000,1575000000,1575000000
2026-09-13T11:49:12.566648+00:00,2728813,5928689664,19650097152,89400999936,1575000000,1575000000,1575000000
2026-09-13T11:49:22.567385+00:00,2728813,5928689664,19650097152,89394167808,1575000000,1575000000,1575000000
2026-09-13T11:49:32.568807+00:00,2728813,5928689664,19650097152,89345892352,1575000000,1575000000,1575000000
2026-09-13T11:49:42.569557+00:00,2728813,5928689664,19650097152,89371652096,1575000000,1575000000,1575000000
2026-09-13T11:49:52.570321+00:00,2728813,5928689664,19650097152,89332826112,1575000000,1575000000,1575000000
2026-09-13T11:50:02.571002+00:00,2728813,5928689664,19650097152,89363030016,1575000000,1575000000,1575000000
2026-09-13T11:50:12.571687+00:00,2728813,5930864640,19650097152,89371787264,1575000000,1575000000,1575000000
2026-09-13T11:50:22.572417+00:00,2728813,5936898048,19650097152,89360154624,1575000000,1575000000,1575000000
2026-09-13T11:50:32.573632+00:00,2728813,5942493184,19650097152,89368039424,1575000000,1575000000,1575000000
2026-09-13T11:50:42.574571+00:00,2728813,5944213504,19650097152,89331748864,1575000000,1575000000,1575000000
2026-09-13T11:50:52.575264+00:00,2728813,5944213504,19650097152,89358254080,1575000000,1575000000,1575000000
2026-09-13T11:51:02.575967+00:00,2728813,5944213504,19650097152,89354874880,1575000000,1575000000,1575000000
2026-09-13T11:51:12.576711+00:00,2728813,5944213504,19650097152,89354760192,1575000000,1575000000,1575000000
2026-09-13T11:51:22.577404+00:00,2728813,5944213504,19650097152,105464680448,1575000000,1575000000,1575000000
2026-09-13T11:51:32.578089+00:00,2728813,5944213504,19650097152,89337569280,1575000000,1575000000,1575000000
2026-09-13T11:51:42.578760+00:00,2728813,5944213504,19650097152,89352343552,1575000000,1575000000,1575000000
2026-09-13T11:51:52.579571+00:00,2728813,5944213504,19650097152,89350897664,1575000000,1575000000,1575000000
2026-09-13T11:52:02.789252+00:00,2728813,5944213504,19650097152,89357324288,1575000000,1575000000,1575000000
2026-09-13T11:52:12.837018+00:00,2728813,5944213504,19650097152,89333534720,1575000000,1575000000,1575000000
2026-09-13T11:52:22.837939+00:00,2728813,5944213504,19650097152,89334988800,1575000000,1575000000,1575000000
2026-09-13T11:52:32.838625+00:00,2728813,5944213504,19650097152,89366347776,1575000000,1575000000,1575000000
2026-09-13T11:52:42.841449+00:00,2728813,5944213504,19650097152,89307893760,1575000000,1575000000,1575000000
2026-09-13T11:52:52.842106+00:00,2728813,5944213504,19650097152,88966242304,1575000000,1575000000,1575000000
2026-09-13T11:53:02.843045+00:00,2728813,5944213504,19650097152,84885078016,1575000000,1575000000,1575000000
2026-09-13T11:53:12.843766+00:00,2728813,5944213504,19650097152,76773920768,1575000000,1575000000,1575000000
2026-09-13T11:53:22.844516+00:00,2728813,5944213504,19650097152,76801425408,1575000000,1575000000,1575000000
